2018-08-10T13:40:30+03:00 DEBUG development | bla | bla2
2018-08-10T13:43:50+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | bla2
2018-08-10T13:45:57+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:46:09+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:46:09+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T13:46:15+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:46:15+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T13:50:49+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:50:49+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:50:49+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T13:51:29+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:51:29+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:51:30+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T13:52:22+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:52:22+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | Login for user gfgf failed
2018-08-10T13:52:42+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:52:42+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T13:53:04+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:53:04+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:53:14+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:53:14+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:53:47+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:53:58+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:54:42+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:55:14+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:55:34+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:55:45+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:55:45+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:56:33+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:56:33+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:57:52+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:57:52+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:57:52+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | Login for user gfgf failed
2018-08-10T13:58:57+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:58:57+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T13:59:17+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T13:59:17+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:00:56+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:00:56+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:01:14+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:01:14+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:01:50+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:01:50+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:02:08+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:02:08+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:02:46+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:02:46+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:03:06+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:03:06+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:03:27+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:03:27+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:03:54+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:03:54+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:04:49+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:04:49+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:04:56+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:04:56+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:06:28+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:06:28+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:06:59+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:06:59+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:17:56+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:17:56+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:17:56+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | Login for user gfgf failed
2018-08-10T14:18:25+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:18:25+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
2018-08-10T14:18:25+03:00 DEBUG development | Meiko\Authentication\Event\DefaultLoginEvent | Post login Script called
2018-08-10T14:18:25+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | Login for user gfgf failed
2018-08-10T14:19:08+03:00 INFO  development | Meiko\Authentication\Model\AuthManager | User gfgf trying to authenticate...
2018-08-10T14:19:08+03:00 INFO  development | Meiko\Authentication\Event\DefaultLoginEvent | Pre login Script called
